File Name,Folder,Start(CET),Duration[s],Peak[Mb/s],Protocol,Src Port(s),Dst Port(s),Src IPs,IPs Fragmented,Flags
IPSTR-ARME-S-02,TrafficAnalysis_IPSTR-ARME-S-02_2014-12-29_12_32_33.txt/,1419856358,294,30.74152,TCP,80:HTTP+SOME,80:HTTP+SOME,5,0,SYN(5)
IPSTR-CHARGEN-S-01,TrafficAnalysis_IPSTR-CHARGEN-S-01_2014-12-22_16_03_53.txt/,1419264234,297,576.3067,UDP,19:CharGen+MANY,MANY,1552,0,
IPSTR-CHARGEN-S-02,TrafficAnalysis_IPSTR-CHARGEN-S-02_2014-12-25_15_12_47.txt/,1419520368,298,772.1142,UDP,19:CharGen+MANY,MANY,1473,0,
IPSTR-DNS-S-01,TrafficAnalysis_IPSTR-DNS-S-01_2014-12-22_15_38_41.txt/,1419262722,298,118.047455,UDP,53:DNS+SOME,80:HTTP+MANY,83,0,
IPSTR-DNS-S-02,TrafficAnalysis_IPSTR-DNS-S-02_2014-12-25_15_31_46.txt/,1419521506,300,209.26083,UDP,53:DNS+MANY,MANY,90,0,
IPSTR-NTP-S-01,TrafficAnalysis_IPSTR-NTP-S-01_2014-12-22_23_12_09.txt/,1419289930,298,522.0291,UDP,123:NTP+SOME,MANY,1219,0,
IPSTR-NTP-S-02,TrafficAnalysis_IPSTR-NTP-S-02_2014-12-25_15_54_53.txt/,1419522894,298,602.0249,UDP,123:NTP+SOME,MANY,1224,0,
IPSTR-RUDY-S-01,TrafficAnalysis_IPSTR-RUDY-S-01_2014-12-29_12_17_25.txt/,1419855500,163,31.065712,TCP,80:HTTP+SOME,80:HTTP+SOME,5,0,SYN(5)
IPSTR-RUDY-S-02,TrafficAnalysis_IPSTR-RUDY-S-02_2014-12-29_12_39_02.txt/,1419856748,256,30.787024,TCP,80:HTTP+SOME,80:HTTP+SOME,3,0,SYN(3)
IPSTR-SLOW-S-01,TrafficAnalysis_IPSTR-SLOW-S-01_2014-12-29_12_23_45.txt/,1419855840,104,30.897425,TCP,80:HTTP+SOME,80:HTTP+SOME,3,0,SYN(3)
IPSTR-SLOW-S-02,TrafficAnalysis_IPSTR-SLOW-S-02_2014-12-29_12_46_35.txt/,1419857200,258,30.90232,TCP,80:HTTP+MANY,80:HTTP+MANY,13,0,RST(1)SYN(13)
IPSTR-SNMP-S-01,TrafficAnalysis_IPSTR-SNMP-S-01_2014-12-22_22_41_37.txt/,1419288098,299,314.3516,UDP,161:SNMP+MANY,MANY,1265,0,
IPSTR-SNMP-S-02,TrafficAnalysis_IPSTR-SNMP-S-02_2014-12-25_17_38_27.txt/,1419529108,298,524.15643,UDP,161:SNMP+MANY,MANY,1237,0,
IPSTR-SSDP-S-01,TrafficAnalysis_IPSTR-SSDP-S-01_2014-12-22_22_17_42.txt/,1419286663,298,342.65152,UDP,1900:SSDP+MANY,MANY,45449,0,
IPSTR-SSDP-S-02,TrafficAnalysis_IPSTR-SSDP-S-02_2014-12-25_17_54_13.txt/,1419530054,298,299.0202,UDP,1900:SSDP+MANY,MANY,46943,0,
IPSTR-SYN-S-01,TrafficAnalysis_IPSTR-SYN-S-01_2014-12-21_19_38_21.txt/,1419190717,35,61.828114,TCP,80:HTTP+SOME,80:HTTP+SOME,25,0,SYN(27)
