Start,Folder,File_name,Duration[s],Peak[Mb/s],Protocol,Src_Ports,Dst_Ports,Src_IPs,IPs_Fragmented,Flags
1419287590,TrafficAnalysis_TITAN-ESSYN-S-01_2014-12-22_22_33_09.txt/,TITAN-ESSYN-S-01,297,306.04343,UDP,53:DNS+SOME,MANY,90,1,
1419288098,TrafficAnalysis_IPSTR-SNMP-S-01_2014-12-22_22_41_37.txt/,IPSTR-SNMP-S-01,299,314.3516,UDP,161:SNMP+MANY,MANY,1265,1,
1419289515,TrafficAnalysis_TITAN-UDPLAG-S-01_2014-12-22_23_05_14.txt/,TITAN-UDPLAG-S-01,298,268.48294,UDP,53:DNS+MANY,MANY,228,1,
1419289930,TrafficAnalysis_IPSTR-NTP-S-01_2014-12-22_23_12_09.txt/,IPSTR-NTP-S-01,298,522.0291,UDP,123:NTP+SOME,MANY,1219,1,
1419290452,TrafficAnalysis_CONS-CHARGEN-S-01_2014-12-22_23_20_51.txt/,CONS-CHARGEN-S-01,298,283.14215,UDP,19:CharGen+MANY,MANY,612,1,
1419353825,TrafficAnalysis_prod-anon-034.txt/,prod-anon-034,10,4.24656,UDP,123:NTP+,80:HTTP+SOME,228,1,
1419375681,TrafficAnalysis_ANON-NTP-S-02_2014-12-23_23_01_20.txt/,ANON-NTP-S-02,297,636.5405,UDP,123:NTP+MANY,80:HTTP+MANY,1643,1,
1419376098,TrafficAnalysis_KRYPT-ESSYN-S-02_2014-12-23_23_08_06.txt/,KRYPT-ESSYN-S-02,273,19.52212,TCP,MANY,SOME,426244,1,CWR(3)ECE(4)ACK(2466)PSH(3)RST(21599)SYN(426261)FIN(15)
1419376529,TrafficAnalysis_CONS-CHARGEN-S-02_2014-12-23_23_15_28.txt/,CONS-CHARGEN-S-02,298,522.2594,UDP,19:CharGen+MANY,MANY,1090,1,
1419376910,TrafficAnalysis_REST-SSYN-S-02_2014-12-23_23_21_20.txt/,REST-SSYN-S-02,266,45.28847,TCP,MANY,SOME,1824428,1,CWR(5)ECE(8)ACK(6380)RST(57581)SYN(1824123)FIN(45)
1419377289,TrafficAnalysis_CONS-NTP-S-02_2014-12-23_23_28_08.txt/,CONS-NTP-S-02,299,547.93896,UDP,123:NTP+SOME,MANY,991,1,
1419377691,TrafficAnalysis_REST-XSSYN-S-02_2014-12-23_23_34_46.txt/,REST-XSSYN-S-02,294,44.80891,TCP,MANY,SOME,1812661,1,CWR(7)ECE(5)ACK(6466)RST(57407)SYN(1812584)FIN(42)
1419511478,TrafficAnalysis_DEST-ESSYN-S-01_2014-12-25_12_44_37.txt/,DEST-ESSYN-S-01,297,8.32E-4,UDP,53:DNS+,MANY,1,1,
1419511822,TrafficAnalysis_NETNET-CHARGEN-S-01_2014-12-25_12_50_21.txt/,NETNET-CHARGEN-S-01,298,0.007632,UDP,53:DNS+,MANY,1,1,
1419512276,TrafficAnalysis_DEST-SSYN-S-01_2014-12-25_12_57_55.txt/,DEST-SSYN-S-01,297,0.008536,UDP,53:DNS+,MANY,1,1,
1419512716,TrafficAnalysis_NETNET-DNS-S-01_2014-12-25_13_05_15.txt/,NETNET-DNS-S-01,298,0.008272,UDP,53:DNS+SOME,MANY,4,1,
1419513168,TrafficAnalysis_DEST-XSYN-S-01_2014-12-25_13_12_47.txt/,DEST-XSYN-S-01,297,0.00792,UDP,53:DNS+SOME,MANY,2,1,
